topic_id	topic_words	topic_weight	year
45	pitää voida vuosi hyvä sanoa päivä hyvin tarvita toivoa aivan	0.055847584524023	1858
46	oulu lähteä matka mesi ranta kulkea meri kesä tuli kaupunki	0.04869385121576	1858
47	palkinto taloll tamma kilpaajo hevonen juosta ruskea musta rata herra	0.002681424814646	1858
48	tuomio tuomita kokemäki yhteisesti koski niittu suusta virta nuotta vuonna	0.001173077437833	1858
49	helsinki posti lähteä sunnuntai päivä tiistai juna pietari maanantai konttori	0.007036891368672	1858
50	lilo tiistaisin perjantaisin postilaitos munkki 10—11 sunnuntaisin punainen risti lauvantaa	0.00112010904591	1858
1	lintu käärme metalli pesä oksa kääntää pussi tina pakana kirkas	0.002878481850444	1859
2	kuningas eläin tuuli luokka lehmä tyyni herttua voida sonni sade	0.009628895355832	1859
3	kirkko pastori saarna past saarnata ruotsalainen sunnuntai seurakunta pitää iltasaarna	0.010119373796584	1859
4	unkari kreivi unkarilainen varsinainen opett kansallisuus kieli rakennus virta sena	0.003080598210002	1859
5	lukea pitää selä lautta mies tuoda taka muta lehti toimi	0.018667315797919	1859
6	suomi määrätä keisarillinen pitää markka majesteetti asetus mainita helsinki senaatti	0.021676349206129	1859
7	kuopio lääni tapio savo rautalampi karttula oulu suonenjoki dahlström herra	0.014704226997541	1859
8	vuosi päivä markka kaupunki sanoa maksaa pitäjä tynnyri mainita suomi	0.03346854588753	1859
9	till tili kello kaupunki samt tieto talo päivä penni oulu	0.014902437206535	1859
10	mikkeli rantasalmi kangasniemi joroinen myymälä aleksanterinkatu joutsa kerimäki puumala mikkelinen	0.005224389890521	1859
11	sääty mietintö ehdotus esitys valiokunta kysymys puhuja pitää ehdottaa anomus	0.009882220665301	1859
12	palaa tulipalo tuli poro lokak lapsi syttyä susi polttaa rakennus	0.009915453499624	1859
13	ilmoittaa päivä pitäjä marraskuu huutokauppa pesä oikeus mainita kylässä kello	0.013600392320181	1859
14	hämeenlinna helsinki seteli vainaa marrask entää tampere häme marrast mina	0.01686162568969	1859
15	pitää seura lääni kokous mainita ilmoittaa määrätä suomi helsinki toimi	0.048833717797707	1859
16	vuosi kaupunki joulukuu tammikuu markka henki joulu suomi kuollut yhtiö	0.021562497551607	1859
17	talollinen juho kauppias torppari kaarle kustaa matti wilhelm heikki juhana	0.008417544358873	1859
18	pitää raha metsä maksaa tukea ihminen sanoa talo panna pelto	0.065212134926025	1859
19	lappi lappalainen norja norjalainen virkamies sikäläinen pappi hakea posti kartoittaa	0.002868096038477	1859
20	kello wiipuri joensuu viipuri kaupunki sunnuntai lappeenranta talo lello aamu	0.016367545741974	1859
21	nisu korkea kaura hinta puoliso tnlla kostaa lysyä alfred jalkine	8.98634076204168E-05	1859
22	kirkkoherra kappalainen virka pappi seurakunta apulainen määrätä turku toimittaa mirka	0.028093515647712	1859
23	jumala elää lapsi ihminen sana herra sydän pyhä rakkaus sanoa	0.04781885221334	1859
24	koulu opettaja virka palkka opettajatar opisto hakea julistaa aine kesäkuu	0.017651486420864	1859
25	orioka litra jofa meijeri roielä muta port foto fefä korea	0.003910393863665	1859
26	hallitus englanti keisari venäjä ranska sota saksa sanoa ulkomaa ministeri	0.034042994916746	1859
27	tampere maria työm neiti rouva teht karl anna johan tytär	0.008111592602532	1859
28	tuore naula maito leiw liha kaura kilo suolata ohra heinä	0.046675709481746	1859
29	talo helmikuu maaliskuu katu huone tammikuu marrella ilmoitus omistaja puoti	0.007969495608826	1859
30	rupla rupl kopeekka ulkomaa armo lähettää vuonna tamara maaviljelys tilata	0.022442544331963	1859
31	hinta päivä talo halpa hyvä helsinki haluta toimittaa ostaa varasto	0.009226319943853	1859
32	sanoa mies tuli silmä tahtoa käsi pitää herra poika äiti	0.056822888958322	1859
